treatment,model,lambda,number_of_replicates,predation_strength,random_seed,dispersal_kernel,alpha,number_of_populations,migration_probability,reproduction_probability,epsilon,fixed_metapopulation
215,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,6.0,7,0.03,1.0,0.01,false
216,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,9.0,7,0.03,1.0,0.01,false
217,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,0.0,8,0.03,1.0,0.01,false
218,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,3.0,8,0.03,1.0,0.01,false
219,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,6.0,8,0.03,1.0,0.01,false
220,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,9.0,8,0.03,1.0,0.01,false
221,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,0.0,9,0.03,1.0,0.01,false
222,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,3.0,9,0.03,1.0,0.01,false
223,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,6.0,9,0.03,1.0,0.01,false
224,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,9.0,9,0.03,1.0,0.01,false
225,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,0.0,10,0.03,1.0,0.01,false
226,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,3.0,10,0.03,1.0,0.01,false
227,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,6.0,10,0.03,1.0,0.01,false
228,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,9.0,10,0.03,1.0,0.01,false
229,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,0.0,11,0.03,1.0,0.01,false
230,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,3.0,11,0.03,1.0,0.01,false
231,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,6.0,11,0.03,1.0,0.01,false
232,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,9.0,11,0.03,1.0,0.01,false
233,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,0.0,12,0.03,1.0,0.01,false
234,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,3.0,12,0.03,1.0,0.01,false
235,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,6.0,12,0.03,1.0,0.01,false
