treatment,model,lambda,number_of_replicates,predation_strength,random_seed,dispersal_kernel,alpha,number_of_populations,migration_probability,reproduction_probability,epsilon,fixed_metapopulation
5339,RickerModelWDiffusionDispersal,7.75,50,0.03,1007929834,ExpKernel,0,15,0.27,1.0,0.01,false
5340,RickerModelWStochasticDispersal,7.75,50,0.03,1007929834,ExpKernel,0,15,0.27,1.0,0.01,false
5341,RickerModelWDiffusionDispersal,8.0,50,0.03,1007929834,ExpKernel,0,15,0.27,1.0,0.01,false
5342,RickerModelWStochasticDispersal,8.0,50,0.03,1007929834,ExpKernel,0,15,0.27,1.0,0.01,false
5343,RickerModelWDiffusionDispersal,8.25,50,0.03,1007929834,ExpKernel,0,15,0.27,1.0,0.01,false
5344,RickerModelWStochasticDispersal,8.25,50,0.03,1007929834,ExpKernel,0,15,0.27,1.0,0.01,false
5345,RickerModelWDiffusionDispersal,8.5,50,0.03,1007929834,ExpKernel,0,15,0.27,1.0,0.01,false
5346,RickerModelWStochasticDispersal,8.5,50,0.03,1007929834,ExpKernel,0,15,0.27,1.0,0.01,false
5347,RickerModelWDiffusionDispersal,8.75,50,0.03,1007929834,ExpKernel,0,15,0.27,1.0,0.01,false
5348,RickerModelWStochasticDispersal,8.75,50,0.03,1007929834,ExpKernel,0,15,0.27,1.0,0.01,false
5349,RickerModelWDiffusionDispersal,9.0,50,0.03,1007929834,ExpKernel,0,15,0.27,1.0,0.01,false
5350,RickerModelWStochasticDispersal,9.0,50,0.03,1007929834,ExpKernel,0,15,0.27,1.0,0.01,false
5351,RickerModelWDiffusionDispersal,9.25,50,0.03,1007929834,ExpKernel,0,15,0.27,1.0,0.01,false
5352,RickerModelWStochasticDispersal,9.25,50,0.03,1007929834,ExpKernel,0,15,0.27,1.0,0.01,false
5353,RickerModelWDiffusionDispersal,9.5,50,0.03,1007929834,ExpKernel,0,15,0.27,1.0,0.01,false
5354,RickerModelWStochasticDispersal,9.5,50,0.03,1007929834,ExpKernel,0,15,0.27,1.0,0.01,false
5355,RickerModelWDiffusionDispersal,9.75,50,0.03,1007929834,ExpKernel,0,15,0.27,1.0,0.01,false
5356,RickerModelWStochasticDispersal,9.75,50,0.03,1007929834,ExpKernel,0,15,0.27,1.0,0.01,false
5357,RickerModelWDiffusionDispersal,10.0,50,0.03,1007929834,ExpKernel,0,15,0.27,1.0,0.01,false
5358,RickerModelWStochasticDispersal,10.0,50,0.03,1007929834,ExpKernel,0,15,0.27,1.0,0.01,false
5359,RickerModelWDiffusionDispersal,10.25,50,0.03,1007929834,ExpKernel,0,15,0.27,1.0,0.01,false
5360,RickerModelWStochasticDispersal,10.25,50,0.03,1007929834,ExpKernel,0,15,0.27,1.0,0.01,false
5361,RickerModelWDiffusionDispersal,10.5,50,0.03,1007929834,ExpKernel,0,15,0.27,1.0,0.01,false
5362,RickerModelWStochasticDispersal,10.5,50,0.03,1007929834,ExpKernel,0,15,0.27,1.0,0.01,false
5363,RickerModelWDiffusionDispersal,10.75,50,0.03,1007929834,ExpKernel,0,15,0.27,1.0,0.01,false
5364,RickerModelWStochasticDispersal,10.75,50,0.03,1007929834,ExpKernel,0,15,0.27,1.0,0.01,false
5365,RickerModelWDiffusionDispersal,11.0,50,0.03,1007929834,ExpKernel,0,15,0.27,1.0,0.01,false
5366,RickerModelWStochasticDispersal,11.0,50,0.03,1007929834,ExpKernel,0,15,0.27,1.0,0.01,false
5367,RickerModelWDiffusionDispersal,11.25,50,0.03,1007929834,ExpKernel,0,15,0.27,1.0,0.01,false
5368,RickerModelWStochasticDispersal,11.25,50,0.03,1007929834,ExpKernel,0,15,0.27,1.0,0.01,false
5369,RickerModelWDiffusionDispersal,11.5,50,0.03,1007929834,ExpKernel,0,15,0.27,1.0,0.01,false
5370,RickerModelWStochasticDispersal,11.5,50,0.03,1007929834,ExpKernel,0,15,0.27,1.0,0.01,false
5371,RickerModelWDiffusionDispersal,11.75,50,0.03,1007929834,ExpKernel,0,15,0.27,1.0,0.01,false
5372,RickerModelWStochasticDispersal,11.75,50,0.03,1007929834,ExpKernel,0,15,0.27,1.0,0.01,false
5373,RickerModelWDiffusionDispersal,12.0,50,0.03,1007929834,ExpKernel,0,15,0.27,1.0,0.01,false
5374,RickerModelWStochasticDispersal,12.0,50,0.03,1007929834,ExpKernel,0,15,0.27,1.0,0.01,false
5375,RickerModelWDiffusionDispersal,12.25,50,0.03,1007929834,ExpKernel,0,15,0.27,1.0,0.01,false
5376,RickerModelWStochasticDispersal,12.25,50,0.03,1007929834,ExpKernel,0,15,0.27,1.0,0.01,false
5377,RickerModelWDiffusionDispersal,12.5,50,0.03,1007929834,ExpKernel,0,15,0.27,1.0,0.01,false
5378,RickerModelWStochasticDispersal,12.5,50,0.03,1007929834,ExpKernel,0,15,0.27,1.0,0.01,false
5379,RickerModelWDiffusionDispersal,12.75,50,0.03,1007929834,ExpKernel,0,15,0.27,1.0,0.01,false
5380,RickerModelWStochasticDispersal,12.75,50,0.03,1007929834,ExpKernel,0,15,0.27,1.0,0.01,false
5381,RickerModelWDiffusionDispersal,13.0,50,0.03,1007929834,ExpKernel,0,15,0.27,1.0,0.01,false
5382,RickerModelWStochasticDispersal,13.0,50,0.03,1007929834,ExpKernel,0,15,0.27,1.0,0.01,false
5383,RickerModelWDiffusionDispersal,13.25,50,0.03,1007929834,ExpKernel,0,15,0.27,1.0,0.01,false
5384,RickerModelWStochasticDispersal,13.25,50,0.03,1007929834,ExpKernel,0,15,0.27,1.0,0.01,false
5385,RickerModelWDiffusionDispersal,13.5,50,0.03,1007929834,ExpKernel,0,15,0.27,1.0,0.01,false
5386,RickerModelWStochasticDispersal,13.5,50,0.03,1007929834,ExpKernel,0,15,0.27,1.0,0.01,false
5387,RickerModelWDiffusionDispersal,13.75,50,0.03,1007929834,ExpKernel,0,15,0.27,1.0,0.01,false
5388,RickerModelWStochasticDispersal,13.75,50,0.03,1007929834,ExpKernel,0,15,0.27,1.0,0.01,false
5389,RickerModelWDiffusionDispersal,14.0,50,0.03,1007929834,ExpKernel,0,15,0.27,1.0,0.01,false
5390,RickerModelWStochasticDispersal,14.0,50,0.03,1007929834,ExpKernel,0,15,0.27,1.0,0.01,false
5391,RickerModelWDiffusionDispersal,2.0,50,0.03,1007929834,ExpKernel,0,20,0.27,1.0,0.01,false
5392,RickerModelWStochasticDispersal,2.0,50,0.03,1007929834,ExpKernel,0,20,0.27,1.0,0.01,false
5393,RickerModelWDiffusionDispersal,2.25,50,0.03,1007929834,ExpKernel,0,20,0.27,1.0,0.01,false
5394,RickerModelWStochasticDispersal,2.25,50,0.03,1007929834,ExpKernel,0,20,0.27,1.0,0.01,false
5395,RickerModelWDiffusionDispersal,2.5,50,0.03,1007929834,ExpKernel,0,20,0.27,1.0,0.01,false
5396,RickerModelWStochasticDispersal,2.5,50,0.03,1007929834,ExpKernel,0,20,0.27,1.0,0.01,false
5397,RickerModelWDiffusionDispersal,2.75,50,0.03,1007929834,ExpKernel,0,20,0.27,1.0,0.01,false
5398,RickerModelWStochasticDispersal,2.75,50,0.03,1007929834,ExpKernel,0,20,0.27,1.0,0.01,false
5399,RickerModelWDiffusionDispersal,3.0,50,0.03,1007929834,ExpKernel,0,20,0.27,1.0,0.01,false
5400,RickerModelWStochasticDispersal,3.0,50,0.03,1007929834,ExpKernel,0,20,0.27,1.0,0.01,false
5401,RickerModelWDiffusionDispersal,3.25,50,0.03,1007929834,ExpKernel,0,20,0.27,1.0,0.01,false
5402,RickerModelWStochasticDispersal,3.25,50,0.03,1007929834,ExpKernel,0,20,0.27,1.0,0.01,false
5403,RickerModelWDiffusionDispersal,3.5,50,0.03,1007929834,ExpKernel,0,20,0.27,1.0,0.01,false
5404,RickerModelWStochasticDispersal,3.5,50,0.03,1007929834,ExpKernel,0,20,0.27,1.0,0.01,false
5405,RickerModelWDiffusionDispersal,3.75,50,0.03,1007929834,ExpKernel,0,20,0.27,1.0,0.01,false
5406,RickerModelWStochasticDispersal,3.75,50,0.03,1007929834,ExpKernel,0,20,0.27,1.0,0.01,false
5407,RickerModelWDiffusionDispersal,4.0,50,0.03,1007929834,ExpKernel,0,20,0.27,1.0,0.01,false
5408,RickerModelWStochasticDispersal,4.0,50,0.03,1007929834,ExpKernel,0,20,0.27,1.0,0.01,false
5409,RickerModelWDiffusionDispersal,4.25,50,0.03,1007929834,ExpKernel,0,20,0.27,1.0,0.01,false
5410,RickerModelWStochasticDispersal,4.25,50,0.03,1007929834,ExpKernel,0,20,0.27,1.0,0.01,false
5411,RickerModelWDiffusionDispersal,4.5,50,0.03,1007929834,ExpKernel,0,20,0.27,1.0,0.01,false
5412,RickerModelWStochasticDispersal,4.5,50,0.03,1007929834,ExpKernel,0,20,0.27,1.0,0.01,false
5413,RickerModelWDiffusionDispersal,4.75,50,0.03,1007929834,ExpKernel,0,20,0.27,1.0,0.01,false
5414,RickerModelWStochasticDispersal,4.75,50,0.03,1007929834,ExpKernel,0,20,0.27,1.0,0.01,false
5415,RickerModelWDiffusionDispersal,5.0,50,0.03,1007929834,ExpKernel,0,20,0.27,1.0,0.01,false
5416,RickerModelWStochasticDispersal,5.0,50,0.03,1007929834,ExpKernel,0,20,0.27,1.0,0.01,false
5417,RickerModelWDiffusionDispersal,5.25,50,0.03,1007929834,ExpKernel,0,20,0.27,1.0,0.01,false
5418,RickerModelWStochasticDispersal,5.25,50,0.03,1007929834,ExpKernel,0,20,0.27,1.0,0.01,false
5419,RickerModelWDiffusionDispersal,5.5,50,0.03,1007929834,ExpKernel,0,20,0.27,1.0,0.01,false
5420,RickerModelWStochasticDispersal,5.5,50,0.03,1007929834,ExpKernel,0,20,0.27,1.0,0.01,false
