treatment,model,lambda,number_of_replicates,predation_strength,random_seed,dispersal_kernel,alpha,number_of_populations,migration_probability,reproduction_probability,epsilon,fixed_metapopulation
223,RickerModelWDiffusionDispersal,5,100,0.03,424508389,ExpKernel,6.0,10,0.05,1.0,0.01,false
224,RickerModelWStochasticDispersal,5,100,0.03,424508389,ExpKernel,6.0,10,0.05,1.0,0.01,false
225,RickerModelWDiffusionDispersal,8,100,0.03,424508389,ExpKernel,6.0,10,0.05,1.0,0.01,false
226,RickerModelWStochasticDispersal,8,100,0.03,424508389,ExpKernel,6.0,10,0.05,1.0,0.01,false
227,RickerModelWDiffusionDispersal,11,100,0.03,424508389,ExpKernel,6.0,10,0.05,1.0,0.01,false
228,RickerModelWStochasticDispersal,11,100,0.03,424508389,ExpKernel,6.0,10,0.05,1.0,0.01,false
229,RickerModelWDiffusionDispersal,14,100,0.03,424508389,ExpKernel,6.0,10,0.05,1.0,0.01,false
230,RickerModelWStochasticDispersal,14,100,0.03,424508389,ExpKernel,6.0,10,0.05,1.0,0.01,false
231,RickerModelWDiffusionDispersal,2,100,0.03,424508389,ExpKernel,9.0,10,0.05,1.0,0.01,false
232,RickerModelWStochasticDispersal,2,100,0.03,424508389,ExpKernel,9.0,10,0.05,1.0,0.01,false
233,RickerModelWDiffusionDispersal,5,100,0.03,424508389,ExpKernel,9.0,10,0.05,1.0,0.01,false
234,RickerModelWStochasticDispersal,5,100,0.03,424508389,ExpKernel,9.0,10,0.05,1.0,0.01,false
235,RickerModelWDiffusionDispersal,8,100,0.03,424508389,ExpKernel,9.0,10,0.05,1.0,0.01,false
236,RickerModelWStochasticDispersal,8,100,0.03,424508389,ExpKernel,9.0,10,0.05,1.0,0.01,false
237,RickerModelWDiffusionDispersal,11,100,0.03,424508389,ExpKernel,9.0,10,0.05,1.0,0.01,false
238,RickerModelWStochasticDispersal,11,100,0.03,424508389,ExpKernel,9.0,10,0.05,1.0,0.01,false
239,RickerModelWDiffusionDispersal,14,100,0.03,424508389,ExpKernel,9.0,10,0.05,1.0,0.01,false
240,RickerModelWStochasticDispersal,14,100,0.03,424508389,ExpKernel,9.0,10,0.05,1.0,0.01,false
241,RickerModelWDiffusionDispersal,2,100,0.03,424508389,ExpKernel,0.0,10,0.06,1.0,0.01,false
242,RickerModelWStochasticDispersal,2,100,0.03,424508389,ExpKernel,0.0,10,0.06,1.0,0.01,false
